Period,Facility,Facility Code,Males,Females
23-Nov,ARDA Katiyo  - 100018 - Clinic,p.zw.100018,,
23-Nov,Arbourfoyle - 100014 - Private Clinic,p.zw.100014,,
23-Nov,Bonda - 100080 - Mission Hospital,p.zw.100080,17,67
23-Nov,Chavhanga - 100145 - Rural Health Centre,p.zw.100145,3,9
23-Nov,Chinaka Health Post,,13,33
23-Nov,Chinamasa - 100218 - Rural Health Centre,p.zw.100218,6,14
23-Nov,Chisuko - 100280 - Council Clinic,p.zw.100280,,
23-Nov,Chitombo - 100295 - Council Clinic,p.zw.100295,14,32
23-Nov,Drenane Timbers - 100419 - Private Clinic,p.zw.100419,2,
23-Nov,Dunsinane - 100426 - Clinic,p.zw.100426,,
23-Nov,EHPL 1 - 100435 - Clinic,p.zw.100435,,
23-Nov,EHPL 6 - 100437 - Clinic,p.zw.100437,1,6
23-Nov,Gatsi - 100493 - Mission Clinic,p.zw.100493,4,32
23-Nov,Guta - 100555 - Council Clinic,p.zw.100555,3,17
23-Nov,Haparare - 100581 - Council Clinic,p.zw.100581,1,4
23-Nov,Haparari Clinic,,,
23-Nov,Hauna - 100586 - District Hospital,p.zw.100586,24,144
23-Nov,Hauna - 101855 - Clinic,p.zw.101855,9,92
23-Nov,Honde - 100607 - Mission Hospital,p.zw.100607,15,19
23-Nov,Imbeza - 100630 - Clinic,p.zw.100630,,2
23-Nov,Jombe - 100670 - Clinic,p.zw.100670,15,39
23-Nov,Katiyo - 100721 - Private-Tanganda,p.zw.100721,5,21
23-Nov,Mandeya 11 - 101912 - Clinic,p.zw.101912,4,15
23-Nov,Mapara - 100886 - Clinic,p.zw.100886,1,17
23-Nov,Moyoweshumba - 101039 - Council Clinic,p.zw.101039,12,22
23-Nov,Mt. Jenya - 101060 - Council Clinic,p.zw.101060,6,8
23-Nov,Mundeya - 101106 - Clinic,p.zw.101106,,
23-Nov,Mupotedzi - 101120 - Gvt Clinic,p.zw.101120,6,21
23-Nov,Mutasa - 101169 - Council Clinic,p.zw.101169,16,34
23-Nov,Ngarura - 101250 - Council Clinic,p.zw.101250,6,46
23-Nov,Nyamukwarara Clinic,,,
23-Nov,Nyanga Pines - 101363 - Clinic,p.zw.101363,10,14
23-Nov,Old Mutare - 101397 - Mission Hospital,p.zw.101397,34,116
23-Nov,Premier - 101423 - Clinic,p.zw.101423,14,19
23-Nov,Premier Medical Centre Private Clinic,,,
23-Nov,Red Wing - 101445 - Private-Mine,p.zw.101445,1,7
23-Nov,Rupinda - 101474 - Rural Health Centre,p.zw.101474,9,26
23-Nov,Sachisuko - 101916 - Clinic,p.zw.101916,4,20
23-Nov,Sadziwa - 101505 - Council Clinic,p.zw.101505,3,21
23-Nov,Sagambe - 101507 - Council Clinic,p.zw.101507,9,26
23-Nov,Sahumani - 101508 - Council Clinic,p.zw.101508,1,5
23-Nov,Sakupwanya - 101512 - Council Clinic,p.zw.101512,20,48
23-Nov,Samanga - 101515 - Council clinic,p.zw.101515,10,13
23-Nov,Samaringa - 101516 - Council clinic,p.zw.101516,6,24
23-Nov,Sheba Border Timbers - 101559 - Private Clinic,p.zw.101559,4,8
23-Nov,Sherukuru - 101560 - Rural Health Centre,p.zw.101560,44,43
23-Nov,St. Augustine's - 101627 - Mission Clinic,p.zw.101627,38,78
23-Nov,St. Barbara's - 101628 - Mission Hospitals,p.zw.101628,4,21
23-Nov,St. Peter's Mandeya - 101639 - Mission Hospital,p.zw.101639,13,38
23-Nov,Triashill - 101706 - Mission Hospitals,p.zw.101706,16,18
23-Nov,Tsonzo - 101714 - Rural Hospital,p.zw.101714,16,49
23-Nov,Tsvingwe Clinic,,32,136
23-Nov,Zindi - 101807 - Clinic,p.zw.101807,19,73
23-Nov,Zongoro - 101814 - Council Clinic,p.zw.101814,21,52
