Period,Facility,Facility Code,Males,Females
23-Dec,ARDA Katiyo  - 100018 - Clinic,p.zw.100018,,
23-Dec,Arbourfoyle - 100014 - Private Clinic,p.zw.100014,,
23-Dec,Bonda - 100080 - Mission Hospital,p.zw.100080,17,53
23-Dec,Chavhanga - 100145 - Rural Health Centre,p.zw.100145,3,16
23-Dec,Chinaka Health Post,,5,10
23-Dec,Chinamasa - 100218 - Rural Health Centre,p.zw.100218,7,13
23-Dec,Chisuko - 100280 - Council Clinic,p.zw.100280,,
23-Dec,Chitombo - 100295 - Council Clinic,p.zw.100295,8,22
23-Dec,Drenane Timbers - 100419 - Private Clinic,p.zw.100419,1,4
23-Dec,Dunsinane - 100426 - Clinic,p.zw.100426,,
23-Dec,EHPL 1 - 100435 - Clinic,p.zw.100435,,
23-Dec,EHPL 6 - 100437 - Clinic,p.zw.100437,7,18
23-Dec,Gatsi - 100493 - Mission Clinic,p.zw.100493,6,21
23-Dec,Guta - 100555 - Council Clinic,p.zw.100555,4,11
23-Dec,Haparare - 100581 - Council Clinic,p.zw.100581,2,8
23-Dec,Haparari Clinic,,,
23-Dec,Hauna - 100586 - District Hospital,p.zw.100586,38,170
23-Dec,Hauna - 101855 - Clinic,p.zw.101855,19,108
23-Dec,Honde - 100607 - Mission Hospital,p.zw.100607,10,18
23-Dec,Imbeza - 100630 - Clinic,p.zw.100630,2,2
23-Dec,Jombe - 100670 - Clinic,p.zw.100670,7,18
23-Dec,Katiyo - 100721 - Private-Tanganda,p.zw.100721,5,17
23-Dec,Mandeya 11 - 101912 - Clinic,p.zw.101912,2,12
23-Dec,Mapara - 100886 - Clinic,p.zw.100886,1,8
23-Dec,Moyoweshumba - 101039 - Council Clinic,p.zw.101039,15,25
23-Dec,Mt. Jenya - 101060 - Council Clinic,p.zw.101060,3,3
23-Dec,Mundeya - 101106 - Clinic,p.zw.101106,,
23-Dec,Mupotedzi - 101120 - Gvt Clinic,p.zw.101120,5,6
23-Dec,Mutasa - 101169 - Council Clinic,p.zw.101169,15,29
23-Dec,Ngarura - 101250 - Council Clinic,p.zw.101250,10,32
23-Dec,Nyamukwarara Clinic,,,
23-Dec,Nyanga Pines - 101363 - Clinic,p.zw.101363,8,21
23-Dec,Old Mutare - 101397 - Mission Hospital,p.zw.101397,14,80
23-Dec,Premier - 101423 - Clinic,p.zw.101423,10,10
23-Dec,Premier Medical Centre Private Clinic,,,
23-Dec,Red Wing - 101445 - Private-Mine,p.zw.101445,,6
23-Dec,Rupinda - 101474 - Rural Health Centre,p.zw.101474,10,29
23-Dec,Sachisuko - 101916 - Clinic,p.zw.101916,5,19
23-Dec,Sadziwa - 101505 - Council Clinic,p.zw.101505,2,11
23-Dec,Sagambe - 101507 - Council Clinic,p.zw.101507,19,38
23-Dec,Sahumani - 101508 - Council Clinic,p.zw.101508,8,9
23-Dec,Sakupwanya - 101512 - Council Clinic,p.zw.101512,10,36
23-Dec,Samanga - 101515 - Council clinic,p.zw.101515,5,20
23-Dec,Samaringa - 101516 - Council clinic,p.zw.101516,24,3
23-Dec,Sheba Border Timbers - 101559 - Private Clinic,p.zw.101559,3,8
23-Dec,Sherukuru - 101560 - Rural Health Centre,p.zw.101560,10,50
23-Dec,St. Augustine's - 101627 - Mission Clinic,p.zw.101627,42,55
23-Dec,St. Barbara's - 101628 - Mission Hospitals,p.zw.101628,10,15
23-Dec,St. Peter's Mandeya - 101639 - Mission Hospital,p.zw.101639,5,31
23-Dec,Triashill - 101706 - Mission Hospitals,p.zw.101706,,
23-Dec,Tsonzo - 101714 - Rural Hospital,p.zw.101714,20,49
23-Dec,Tsvingwe Clinic,,43,110
23-Dec,Zindi - 101807 - Clinic,p.zw.101807,21,48
23-Dec,Zongoro - 101814 - Council Clinic,p.zw.101814,11,39
