Period,Facility,Facility Code,Males,Females
23-Oct,Bonda - 100080 - Mission Hospital,p.zw.100080,30.0,81.0
23-Oct,Chavhanga - 100145 - Rural Health Centre,p.zw.100145,1.0,7.0
23-Oct,Chinaka Health Post,p.zw.100022,11.0,40.0
23-Oct,Chinamasa - 100218 - Rural Health Centre,p.zw.100218,5.0,9.0
23-Oct,Chitombo - 100295 - Council Clinic,p.zw.100295,8.0,27.0
23-Oct,Drenane Timbers - 100419 - Private Clinic,p.zw.100419,1.0,1.0
23-Oct,EHPL 6 - 100437 - Clinic,p.zw.100437,1.0,13.0
23-Oct,Gatsi - 100493 - Mission Clinic,p.zw.100493,3.0,14.0
23-Oct,Guta - 100555 - Council Clinic,p.zw.100555,4.0,14.0
23-Oct,Haparare - 100581 - Council Clinic,p.zw.100581,2.0,3.0
23-Oct,Hauna - 100586 - District Hospital,p.zw.100586,29.0,121.0
23-Oct,Hauna - 101855 - Clinic,p.zw.101855,25.0,103.0
23-Oct,Honde - 100607 - Mission Hospital,p.zw.100607,8.0,20.0
23-Oct,Imbeza - 100630 - Clinic,p.zw.100630,5.0,5.0
23-Oct,Jombe - 100670 - Clinic,p.zw.100670,19.0,46.0
23-Oct,Katiyo - 100721 - Private-Tanganda,p.zw.100721,3.0,13.0
23-Oct,Mandeya 11 - 101912 - Clinic,p.zw.101912,4.0,18.0
23-Oct,Mapara - 100886 - Clinic,p.zw.100886,3.0,7.0
23-Oct,Moyoweshumba - 101039 - Council Clinic,p.zw.101039,12.0,22.0
23-Oct,Mt. Jenya - 101060 - Council Clinic,p.zw.101060,5.0,12.0
23-Oct,Mupotedzi - 101120 - Gvt Clinic,p.zw.101120,8.0,26.0
23-Oct,Mutasa - 101169 - Council Clinic,p.zw.101169,14.0,39.0
23-Oct,Ngarura - 101250 - Council Clinic,p.zw.101250,8.0,33.0
23-Oct,Nyanga Pines - 101363 - Clinic,p.zw.101363,6.0,9.0
23-Oct,Old Mutare - 101397 - Mission Hospital,p.zw.101397,46.0,136.0
23-Oct,Premier - 101423 - Clinic,p.zw.101423,18.0,35.0
23-Oct,Red Wing - 101445 - Private-Mine,p.zw.101445,5.0,6.0
23-Oct,Rupinda - 101474 - Rural Health Centre,p.zw.101474,7.0,17.0
23-Oct,Sachisuko - 101916 - Clinic,p.zw.101916,8.0,32.0
23-Oct,Sadziwa - 101505 - Council Clinic,p.zw.101505,6.0,19.0
23-Oct,Sagambe - 101507 - Council Clinic,p.zw.101507,9.0,31.0
23-Oct,Sahumani - 101508 - Council Clinic,p.zw.101508,0.0,4.0
23-Oct,Sakupwanya - 101512 - Council Clinic,p.zw.101512,27.0,57.0
23-Oct,Samanga - 101515 - Council clinic,p.zw.101515,5.0,20.0
23-Oct,Samaringa - 101516 - Council clinic,p.zw.101516,11.0,35.0
23-Oct,Sheba Border Timbers - 101559 - Private Clinic,p.zw.101559,1.0,13.0
23-Oct,Sherukuru - 101560 - Rural Health Centre,p.zw.101560,22.0,41.0
23-Oct,St. Augustine's - 101627 - Mission Clinic,p.zw.101627,48.0,88.0
23-Oct,St. Barbara's - 101628 - Mission Hospitals,p.zw.101628,4.0,34.0
23-Oct,St. Peter's Mandeya - 101639 - Mission Hospital,p.zw.101639,12.0,58.0
23-Oct,Triashill - 101706 - Mission Hospitals,p.zw.101706,15.0,21.0
23-Oct,Tsonzo - 101714 - Rural Hospital,p.zw.101714,31.0,45.0
23-Oct,Tsvingwe Clinic,p.zw.100021,47.0,127.0
23-Oct,Zindi - 101807 - Clinic,p.zw.101807,28.0,61.0
23-Oct,Zongoro - 101814 - Council Clinic,p.zw.101814,14.0,58.0
23-Nov,Bonda - 100080 - Mission Hospital,p.zw.100080,17.0,67.0
23-Nov,Chavhanga - 100145 - Rural Health Centre,p.zw.100145,3.0,9.0
23-Nov,Chinaka Health Post,p.zw.100022,13.0,33.0
23-Nov,Chinamasa - 100218 - Rural Health Centre,p.zw.100218,6.0,14.0
23-Nov,Chitombo - 100295 - Council Clinic,p.zw.100295,14.0,32.0
23-Nov,Drenane Timbers - 100419 - Private Clinic,p.zw.100419,2.0,0.0
23-Nov,EHPL 6 - 100437 - Clinic,p.zw.100437,1.0,6.0
23-Nov,Gatsi - 100493 - Mission Clinic,p.zw.100493,4.0,32.0
23-Nov,Guta - 100555 - Council Clinic,p.zw.100555,3.0,17.0
23-Nov,Haparare - 100581 - Council Clinic,p.zw.100581,1.0,4.0
23-Nov,Hauna - 100586 - District Hospital,p.zw.100586,24.0,144.0
23-Nov,Hauna - 101855 - Clinic,p.zw.101855,9.0,92.0
23-Nov,Honde - 100607 - Mission Hospital,p.zw.100607,15.0,19.0
